player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"Loup, Aaron",SI,2020,92.9,92.5,6.4,foul,2161,,,
"Treinen, Blake",SI,2020,96.3,95.4,5.7,foul,2113,,,
"Thompson, Ryan",SI,2020,92.4,93,6.8,hit_into_play,1988,0.234,0,1
"May, Dustin",SI,2020,100.5,100.4,6.4,foul,2462,,,
"Thompson, Ryan",FF,2020,93.8,93.6,6.5,hit_into_play,2213,0.128,0,1
"May, Dustin",SI,2020,99.1,99.5,6.4,foul,2271,,,
"Glasnow, Tyler",FF,2020,97.4,100,7.4,foul,2289,,,
"Treinen, Blake",SI,2020,96.6,95.1,5.6,hit_into_play,2254,0.222,0.9,1
"Loup, Aaron",SI,2020,91.4,91,6.1,foul,2025,,,
"Urías, Julio",FF,2020,95.6,94.8,5.7,swinging_strike,2487,,0,1
"Urías, Julio",FF,2020,95.8,94.9,5.8,foul_tip,2502,,0,1
"Urías, Julio",FF,2020,95.6,94.8,6,foul,2505,,,
"Urías, Julio",FF,2020,96.1,95.2,5.9,swinging_strike,2549,,,
"Urías, Julio",FF,2020,95.1,94.6,6,hit_into_play,2417,1.938,2,1
"Yarbrough, Ryan",FC,2020,82.8,82.9,6.2,hit_into_play,2174,0.85,1.25,1
"Urías, Julio",FF,2020,95.4,94.4,5.8,swinging_strike,2585,,,
"Urías, Julio",FF,2020,94.5,94,6.1,swinging_strike,2544,,,
"Yarbrough, Ryan",FC,2020,84.4,84.7,6.5,foul,2241,,,
"Urías, Julio",FF,2020,95.6,94,5.9,foul,2471,,,
"Urías, Julio",FF,2020,95.5,93.7,5.7,foul,2414,,,
"Yarbrough, Ryan",FC,2020,83.0,83.2,6.5,hit_into_play,2285,0.687,0.9,1
"Urías, Julio",FF,2020,95.1,93.9,5.8,hit_into_play,2336,1.942,2,1
"Urías, Julio",FF,2020,95.5,94.1,5.8,swinging_strike,2418,,0,1
"Urías, Julio",FF,2020,95.4,94.2,5.8,foul,2491,,,
"Urías, Julio",FF,2020,95.7,94.7,5.8,foul,2502,,,
"Yarbrough, Ryan",SI,2020,88.1,88.6,6.7,foul,1956,,,
"Urías, Julio",FF,2020,95.1,93.8,5.7,foul,2505,,,
"Urías, Julio",FF,2020,95.8,94.7,5.8,swinging_strike,2588,,0,1
"Urías, Julio",FF,2020,95.5,94.4,6,swinging_strike,2581,,,
"Urías, Julio",FF,2020,95.1,93.9,5.9,swinging_strike,2566,,,
"Urías, Julio",FF,2020,94.8,93.4,5.7,swinging_strike,2509,,,
