player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"Brubaker, JT",SI,2020,91.0,90.4,5.9,hit_into_play,2203,0.509,0,1
"Montas, Frankie",SI,2020,96.8,96.6,5.9,foul,2368,,,
"Alzolay, Adbert",FF,2020,93.8,94,6.1,foul,2349,,,
"Schmidt, Clarke",FF,2020,94.1,93.4,5.9,foul,2619,,,
"Gonzales, Marco",FC,2020,82.8,83.5,6.6,foul,2255,,,
"Lyles, Jordan",FF,2020,93.0,94.3,7,hit_into_play,2224,0.103,0,1
"Smyly, Drew",FC,2020,88.4,88.5,5.8,swinging_strike,3280,,,
"Gray, Sonny",FF,2020,92.8,92.8,6.3,foul,2419,,,
"Rodriguez, Nivaldo",FF,2020,91.2,90.2,5.6,foul,1861,,,
"Castano, Daniel",FF,2020,88.5,88.7,6.3,hit_into_play,2244,0,0,1
"Singer, Brady",SI,2020,93.2,93.6,6.6,foul,2237,,,
"Voth, Austin",FF,2020,92.8,93,6.4,swinging_strike,2211,,,
"Fleming, Josh",FC,2020,85.7,86.3,6.6,hit_into_play,1812,0.044,0,1
"Bumgarner, Madison",FC,2020,84.5,85.3,6.8,hit_into_play,2580,0.132,0,1
"Brubaker, JT",SI,2020,92.6,92.1,5.9,hit_into_play,2342,0.049,0,1
"Wilson, Bryse",FF,2020,93.2,93.7,6.6,foul,2018,,,
"De Jong, Chase",FF,2020,91.7,90.6,5.6,swinging_strike,2384,,,
"Hill, Rich",FF,2020,86.8,86.9,6.4,foul,2349,,,
"Fleming, Josh",SI,2020,91.5,91.6,6.6,foul,1879,,,
"Roark, Tanner",FF,2020,91.1,90.8,5.9,foul_tip,1976,,,
"Pivetta, Nick",FF,2020,92.0,92.6,6.7,hit_into_play,2232,0.006,0,1
"Alzolay, Adbert",FF,2020,94.3,94.2,6.2,hit_into_play,2431,0.328,0,1
"Matz, Steven",SI,2020,94.1,94.6,6.6,foul,2218,,,
"Rodriguez, Nivaldo",FF,2020,92.4,92.7,6.1,swinging_strike,1867,,0,1
"Castano, Daniel",SI,2020,85.0,85.3,6.3,hit_into_play,1847,0.144,0,1
"Singer, Brady",SI,2020,93.8,94.9,6.6,foul,2265,,,
"Gonzales, Marco",FC,2020,83.2,83.8,6.5,swinging_strike,2302,,0,1
"Bumgarner, Madison",FC,2020,85.1,86.1,6.9,swinging_strike,2666,,,
"Montas, Frankie",SI,2020,94.8,94.3,5.8,foul,2290,,,
"Smyly, Drew",FF,2020,94.2,93.2,5.6,foul,2358,,,
"Matz, Steven",SI,2020,95.0,95.5,6.5,hit_into_play,2154,0.619,0.9,1
"Rodriguez, Nivaldo",FF,2020,92.6,92.5,6,foul,1821,,,
"Lyles, Jordan",FF,2020,92.6,93.9,7.1,hit_into_play,2242,0.062,0,1
"Montas, Frankie",SI,2020,95.2,94.7,5.8,foul,2326,,,
"Gomber, Austin",FF,2020,93.8,94.9,6.9,foul,2146,,,
